Gene,infl_day,delta_mean,Column 4
SPINK4,12,0.616160398,1
IGF1,12,0.557364087,2
NME4,12,0.548902378,3
CTSO,12,0.523068265,4
HMGCS2,12,0.503117485,5
PON2,12,0.478497198,6
RARRES2,12,0.463903575,7
AK3,12,0.443233124,8
AMACR,12,0.411301064,9
METTL7A,12,0.410907878,10
C8G,12,0.394087742,11
GRHPR,12,0.367526529,12
ATIC,12,0.344982941,13
ALDOB,12,0.342284131,14
AKR1D1,12,0.33489826,15
ORM1,12,0.314339868,16
LBFABP,12,0.307079528,17
GPR146,12,0.300464582,18
PANK1,12,0.29112111,19
CL2,12,0.279964572,20
HNMT,12,0.274676008,21
VWCE,12,0.264797617,22
C4,12,0.251915211,23
DUSP28,12,0.249977084,24
PDILT,12,0.249915606,25
CDK3,12,0.241512551,26
FADS6,12,0.240324028,27
TPPP2,12,0.238118896,28
CYP2W1,12,0.21559484,29
GCNT7,12,0.21494704,30
HPX,12,0.197665367,31
LPAR3,12,0.19472321,32
FAM20A,12,0.184143558,33
CYP1A1,12,0.181738272,34
FPGS,12,0.173443468,35
MCOLN2,12,0.152388457,36
N4BP2L1,12,0.15139529,37
APOC3,12,0.151264817,38
ADRA1B,12,0.150758998,39
HMGCL,12,0.140134117,40
PAICS,12,0.139925369,41
PRPS2,12,0.1256457,42
ALDH8A1,12,0.124628517,43
MTHFS,12,0.123611126,44
CPB2,12,0.123492733,45
PSPH,12,0.115231548,46
C2,12,0.115164093,47
GSTZ1,12,0.106631644,48
SLCO4A1,12,0.104907641,49
ABCA12,12,0.096478313,50
AMBP,12,0.093805777,51
IL1RL2,12,0.09315192,52
DHRS7,12,0.090882748,53
HABP2,12,0.089220991,54
MBL2,12,0.089128662,55
SPP2,12,0.087584424,56
TRPM8,12,0.083476205,57
TSPAN12,12,0.07869477,58
ADK,12,0.07374938,59
C8A,12,0.060896484,60
THRSP,12,0.04349262,61
MLXIPL,12,0.04018267,62
KMO,12,0.027985593,63
PROZ,12,0.021942302,64
FETUB,12,0.021309151,65
C1S,12,0.012397504,66
AHSG,12,0.011944643,67
F-KER,12,0,68
CSF3,12,-0.008576133,69
SLC6A13,12,-0.009471896,70
MASP2,12,-0.013415098,71
VTG1,12,-0.014715267,72
C5,12,-0.015886399,73
SERPIND1,12,-0.022286077,74
ELOVL6,12,-0.039574983,75
VTG2,12,-0.044133225,76
FGB,12,-0.049123001,77
HRG,12,-0.051835381,78
F7,12,-0.059149493,79
PIT54,12,-0.060157278,80
CFI,12,-0.06384403,81
LYG2,12,-0.065486181,82
MAT1A,12,-0.065631459,83
ALB,12,-0.074803709,84
CYP27A1,12,-0.07588751,85
HGD,12,-0.09834924,86
APOV1,12,-0.101694001,87
CHIA,12,-0.11231485,88
STEAP3,12,-0.118634992,89
CYP8B1,12,-0.121260254,90
ENTPD8,12,-0.122680453,91
CLDN15,12,-0.126729174,92
ASMTL,12,-0.127927751,93
CP,12,-0.129724729,94
A2ML2,12,-0.130309569,95
ITIH2,12,-0.157733098,96
HPD,12,-0.161455824,97
ME1,12,-0.17356556,98
F9,12,-0.173714903,99
S100Z,12,-0.179954293,100
KLB,12,-0.183394349,101
GC,12,-0.185050028,102
GART,12,-0.193425903,103
GYS2,12,-0.198732529,104
MTHFD1,12,-0.207799094,105
ABCA8,12,-0.215275819,106
SERPINA10,12,-0.218534049,107
TDO2,12,-0.224863774,108
PROC,12,-0.239297724,109
SERPINC1,12,-0.240535372,110
PAH,12,-0.24368245,111
HAL,12,-0.256773725,112
KIAA1958,12,-0.258096526,113
C8B,12,-0.270567496,114
FGA,12,-0.273131342,115
ANGPTL3,12,-0.275077677,116
HGFAC,12,-0.275704578,117
FGG,12,-0.277998156,118
ITIH3,12,-0.279642508,119
SLCO1B1,12,-0.285228083,120
C1R,12,-0.310147912,121
F2,12,-0.321010894,122
TF,12,-0.334357971,123
LIPC,12,-0.349929601,124
SLC38A4,12,-0.369567985,125
SHMT1,12,-0.381065397,126
PLG,12,-0.391814827,127
VTN,12,-0.393977581,128
HS3ST3A1,12,-0.406305727,129
IL1R1,12,-0.417691392,130
KNG1,12,-0.417717816,131
FGF23,12,-0.424563159,132
CYP39A1,12,-0.431932879,133
PPP1R3B,12,-0.434745998,134
SERPINF2,12,-0.461545062,135
SLCO1A2,12,-0.492447286,136
SLC26A5,12,-0.537414351,137
F5,12,-0.587117723,138
MC5R,12,-0.596039136,139
DMBT1L,12,-0.611934456,140
UROC1,12,-0.629426421,141
XDH,12,-0.654861083,142
HPS5,12,-0.662801752,143
GBE1,12,-0.688812002,144
CYP7A1,12,-0.699575264,145
TMPRSS6,12,-0.718031555,146
AQP9,12,-0.734230265,147
C6,12,-0.757113335,148
TDH,12,-0.816870878,149
TTPA,12,-0.868108675,150
ACACA,12,-1.406591948,151
NTSR1,12,-1.49945543,152
,,,153
